"���""url""",org_name,intervention_sector,location,allocated_amount,first-year-of-funding,description,activities,contact_name,street address,street_address_2,city_province,postal_code,telephone,fax,email,email_link,org_web,org_web_link
http://www.centraide-mtl.org/en/agencies/action-gardien-pte-st-charles-a-qui-la-pointe/,"Action-Gardien, table de concertation communautaire de Pointe-Saint-Charles - �� qui la Pointe?",Families,Pointe-Saint-Charles,"$17,200 ",2014,Promote social housing and improve access to adequate housing for vulnerable individuals and families.,"Documentation of issues and their neighbourhood impact, engagement of different stakeholders and partners, development of alternative projects.",Karine Triollet,"203 - 2390, rue de Ryde",Montr̩al QC,H3K 1R6,,Tel : 514 509-0795,,info@actiongardien.org,mailto:info@actiongardien.org,http://www.actiongardien.org,http://www.actiongardien.org/
http://www.centraide-mtl.org/en/agencies/action-gardien-pte-st-charles-mobilisation-citoyenne-opa/,"Action-Gardien, table de concertation communautaire de Pointe-Saint-Charles - Mobilisation citoyenne OPA",Neighbourhood life,Pointe-Saint-Charles,"$36,300 ",2011,"Bring the residents of Pointe-Saint-Charles together around the issues of living conditions, democratic life and neighbourhood development to strengthen the social fabric and bring out new points of view on the development of Pointe-Saint-Charles.","Citizen meetings, citizen participation in borough council sittings, public meetings, research, recommendations and popularization on the main issues in the neighbourhood.",Karine Triollet,"203 - 2390, rue de Ryde",Montr̩al QC,H3K 1R6,,Tel : 514 509-0795,,info@actiongardien.org,mailto:info@actiongardien.org,http://www.actiongardien.org,http://www.actiongardien.org/
http://www.centraide-mtl.org/en/agencies/action-gardien-pte-st-charles-mobilisation-citoyenne-opa/,"Action-Gardien, table de concertation communautaire de Pointe-Saint-Charles - Mobilisation citoyenne OPA",Neighbourhood life,Pointe-Saint-Charles,"$36,300 ",2011,"Bring the residents of Pointe-Saint-Charles together around the issues of living conditions, democratic life and neighbourhood development to strengthen the social fabric and bring out new points of view on the development of Pointe-Saint-Charles.","Citizen meetings, citizen participation in borough council sittings, public meetings, research, recommendations and popularization on the main issues in the neighbourhood.",Karine Triollet,"203 - 2390, rue de Ryde",Montr̩al QC,H3K 1R6,,Tel : 514 509-0795,,info@actiongardien.org,mailto:info@actiongardien.org,http://www.actiongardien.org,http://www.actiongardien.org/
http://www.centraide-mtl.org/en/agencies/agence-ometz/,Agence Ometz,Families,C̫te-des-Neiges,"$250,000 ",2005,"Support individuals and families, especially during periods of vulnerability, by promoting empowerment, building self-reliance and offering preventive, educational and therapeutic services.","Child/family services (crisis intervention, counselling and ongoing support, counselling for families and couples, individual and family mental health support), academic support (preventing at-risk youth from dropping out of school, prevention of substance abuse, group activities, counselling for parents, professional services for daycares and kindergartens, assistance for cultural communities and immigrants).",Gail Small,1 Cummings Square,3rd Floor,Montreal QC,H3W 1M6,Tel : 514 342-0000,Fax : 514 342-2371,info@ometz.ca,mailto:info@ometz.ca,http://www.ometz.ca,http://www.ometz.ca/
http://www.centraide-mtl.org/en/agencies/almage-senior-community-centre/,Almage Senior Community Centre,Seniors,Mercier-Est,"$70,630 ",2004,"Improve the quality of life and promote the independence of anglophone seniors in east-end Montreal, while fostering self-help, caring and sharing, and offering them a place of belonging.","Information and referral, day centre, home care for elderly shut-ins, continuing education, translation, volunteer involvement, pairing with students (intergenerational relations), educational, recreational and social activities emphasizing health.",Giovanna Colasurdo,"8680, rue Hochelaga",Montr̩al QC,H1L 2M6,,Tel : 514 355-1712,Fax : 514 355-0806,info@almage.org,mailto:info@almage.org,http://www.almage.org,http://www.almage.org/
http://www.centraide-mtl.org/en/agencies/altergo-formation/,AlterGo - Formation,Persons with disabilities,Petite-Bourgogne,"$73,500 ",2013,Develop a strategy that will allow agency representatives to enhance their public presentations.,"Recruitment, training and activities related to public presentations and universal accessibility.",Lise Roche,"525, rue Dominion, bureau 340",Montr̩al QC,H3J 2B4,,Tel : 514 933-2739,Fax : 514 933-9384,info@altergoformation.com,mailto:info@altergoformation.com,http://www.altergoformation.ca,http://www.altergoformation.ca/
http://www.centraide-mtl.org/en/agencies/amitie-soleil/,Amiti̩ Soleil,Families,Petite-Bourgogne,"$106,650 ",1975,"Improve the quality of life of families by breaking their isolation, promoting their social integration and building their self-reliance.","Active listening, information and referral, educational and early stimulation activities for children, parenting skills development, parent-child workshops, drop-in centre, community meals, luncheon meetings, family outings, special events, French courses, workshops (sewing, crafts, cooking, painting, physical activities).",Linda Girard,"715, rue Chatham",Montr̩al QC,H3J 1Z3,,Tel : 514 937-5876,Fax : 514 937-7712,amitiesoleil.adm@qc.aira.com,mailto:amitiesoleil.adm@qc.aira.com,,
http://www.centraide-mtl.org/en/agencies/ancre-des-jeunes-l/,Ancre des Jeunes (L'),Youth,Verdun,"$189,137 ",1993,"In Montreal's west end, prevent children aged 9 to 13 from dropping out of school and encourage youth in difficulty aged 13 to 20 to resume their education. Help them rebuild relationships with their families, schools and communities by fostering self-sufficiency, self-esteem, mutual aid, respect and self-discipline.","Homework assistance, academic assistance for students who are returning to school, manual skills workshops (pokerwork, mechanics, carpentry), psychosocial support, personalized coaching, theme evenings, enhancement of the parental role.",Daphn̩ Mailloux-Rousseau,"3565, boul. LaSalle",Verdun QC,H4G 1Z5,,Tel : 514 769-1654,Fax : 514 761-4143,secretariat@ancredesjeunes.org,mailto:secretariat@ancredesjeunes.org,http://www.ancredesjeunes.org,http://www.ancredesjeunes.org/
http://www.centraide-mtl.org/en/agencies/antre-jeunes-de-mercier-est-l-programme-garage-des-jeunes/,Antre-Jeunes de Mercier-Est (L'),Youth,Mercier-Est,"$57,300 ",1998,"Give youth in Mercier-Est opportunities for success and learning and more chances for self-development so that they can all cultivate the enjoyment and ambition of becoming independent, engaged and responsible adults.","Educational, recreational, cultural, social and sports activities, youth and family outreach, neighbourhood festivals, homework assistance, collective kitchen workshops, emergency food assistance, employability development workshops, information and prevention on substance abuse and sexual health, thematic workshops, parental support.",Julie Ouellet,8695 rue Hochelaga,Bureau 206,Montr̩al QC,H1L 6J5,Tel : 514 493-0557,Fax : 514 493-4368,accueil@lantre-jeunes.com,mailto:accueil@lantre-jeunes.com,http://www.lantre-jeunes.com,http://www.lantre-jeunes.com/
http://www.centraide-mtl.org/en/agencies/association-de-laval-pour-la-deficience-intellectuelle-aldi/,Association de Laval pour la d̩ficience intellectuelle (ALDI),Persons with disabilities,Vimont,"$83,300 ",1966,"Improve the quality of life, promote the social integration and advocate the rights of persons in Laval who are living with a mental handicap.","Specialized activities, advocacy, presentations, summer day camp, family support.",Safae Touimi,"73, boul. Saint-Elz̩ar Ouest",Laval QC,H7M 1E7,,Tel : 450 972-1010,Fax : 450 972-1515,secretariat@aldi1959.com,mailto:secretariat@aldi1959.com,http://www.aldi1959.com,http://www.aldi1959.com/
http://www.centraide-mtl.org/en/agencies/association-de-loisirs-des-personnes-handicapees-physiques-de-montreal/,Association d'entraide des personnes handicap̩es physiques de Montr̩al (ALPHA),Persons with disabilities,Pointe-aux-Trembles,"$103,530 ",1981,Promote the independence and social integration of persons with a physical disability in the east end of Montreal.,"Adapted physical activities, personal growth and creative arts workshops, group activities, summer camp, volunteer involvement, thematic meetings, intergenerational get-togethers, educational, socio-cultural, leisure, health and citizen participation activities.",Michel R̩hel,"14115, rue Prince-Arthur",Bureau 163,Montr̩al QC,H1A 1A8,Tel : 514 352-5119,Fax : 514 352-6242,alpha@mainbourg.org,mailto:alpha@mainbourg.org,http://www.alpha-montreal.com,http://www.alpha-montreal.com/
http://www.centraide-mtl.org/en/agencies/association-de-parents-de-lenfance-en-difficulte-aped/,Association des parents de l'enfance en difficult̩ (APED),Persons with disabilities,Le Vieux-Longueuil,"$135,000 ",1972,"Help, support, inform and promote the parenting skills of parents with children who are in difficulty or have a disability. Raise awareness of the needs of the children and their parents, and advocate their rights and interests.","Information evenings, training sessions, workshops, self-help groups, publication of the newsletter L�۪Envol, activities for children (leisure, day or weekend camps) and accompaniment.",Chantale Beaudoin,"360, rue Cherbourg",Longueuil QC,J4J 4Z3,,Tel : 450 679-9310,Fax : 450 679-3294,info@aped.org,mailto:info@aped.org,http://www.aped.org,http://www.aped.org/
http://www.centraide-mtl.org/en/agencies/association-du-quebec-pour-enfants-avec-problemes-auditifsaqepa-montreal-regional/,Association du Qu̩bec pour enfants avec probl̬mes auditifs (AQEPA) Montr̩al r̩gional,Persons with disabilities,Le Plateau Mont-Royal,"$99,000 ",1998,Promote the school integration and social inclusion of young people with hearing problems by developing and promoting services that address their needs.,"Information and referral, support for social inclusion and integration at school, support for families, awareness, advocacy.",Marie-Jos̩e Richard,"3700, rue Berri",Bureau A-436,Montr̩al QC,H2L 4G9,Tel : 514 842-3926,Fax : 514 842-4006,aqepa.montreal@aqepa.org,mailto:aqepa.montreal@aqepa.org,http://www.aqepa.org,http://www.aqepa.org/
http://www.centraide-mtl.org/en/agencies/association-des-personnes-handicapees-de-la-rive-sud-ouest/,Association des personnes handicap̩es de la Rive-Sud Ouest,Persons with disabilities,La Prairie,"$83,300 ",1993,"Improve the quality of life, promote the social integration and advocate the rights of persons with physical or intellectual disabilities residing in municipalities from La Prairie to Saint-Constant.","Active listening, information and referral, guidance, support, socio-cultural, recreational and social integration activities, advocacy, awareness raising.",Nancy C̫t̩,"100, rue Sainte-Marie",La Prairie QC,J5R 1E8,,Tel : 450 659-6519,Fax : 450 659-6510,info@aphrso.org,mailto:info@aphrso.org,http://www.aphrso.org,http://www.aphrso.org/
http://www.centraide-mtl.org/en/agencies/association-pour-aines-residant-a-laval/,Association pour ąn̩s r̩sidant �� Laval,Seniors,Saint-Vincent-de-Paul,"$91,920 ",2003,"Help Laval seniors���mainly in the East districts���come out of their isolation, maintain their independence and remain socially active.","Welcoming, listening, information and referral, courses and workshops, community meals, preventive activities, collective and community kitchens, intergenerational activities, volunteer training.",Vincent Lagac̩,"4901, rue Saint-Joseph",Laval QC,H7C 1H6,,Tel : 450 661-5252,Fax : 450 661-2497,direction@aparl.org,mailto:direction@aparl.org,http://www.aparl.org,http://www.aparl.org/
http://www.centraide-mtl.org/en/agencies/association-lavalloise-de-parents-et-amis-pour-le-bien-etre-mental-alpabem/,Association lavalloise de parents et amis pour le bien-̻tre mental (ALPABEM),Mental health,Vimont,"$81,300 ",1993,"Promote mutual aid among the parents or spouses of persons with mental health problems, reduce their feelings of powerlessness and loneliness, equip them to improve their quality of life, and distribute information on mental health.","Information, promotion and referral, telephone listening service, self-help groups, activities in the schools for children aged 6-17, interpersonal communication workshops, outdoor camp, documentation centre, mentoring, respite, newsletter, presentations.",Patrice Machab̩e,"1772, boulevard des Laurentides",Laval QC,H7M 2P6,,Tel : 450 688-0541,Fax : 450 688-7061,info@alpabem.qc.ca,mailto:info@alpabem.qc.ca,http://www.alpabem.qc.ca,http://www.alpabem.qc.ca/
http://www.centraide-mtl.org/en/agencies/association-quebecoise-des-parents-et-amis-de-la-personne-atteinte-de-maladie-mentale-aqpamm/,Association qu̩b̩coise des parents et amis de la personne atteinte de maladie mentale (AQPAMM),Mental health,Centre-Sud,"$70,620 ",1983,"Support the families and loved ones of people suffering from mental illnesses by teaching them the best ways to deal with these situations, such as overcoming the prejudices related to mental illness.","Information and referral, conferences, workshops, phone counselling service, individual follow-up, various respite activities for families and loved ones, support groups, newsletter, documentation centre.",David Ford-Johnson,"1260, rue Sainte-Catherine Est, bureau 208",Montr̩al QC,H2L 2H2,,Tel : 514 524-7131,Fax : 514 524-1728,accueil@aqpamm.ca,mailto:accueil@aqpamm.ca,http://www.aqpamm.ca,http://www.aqpamm.ca/
http://www.centraide-mtl.org/en/agencies/atelier-dartisanat-du-centre-ville-l/,ATELIER (L'),Mental health,Le Plateau Mont-Royal,"$135,475 ",1981,"Help persons in Montreal who are experiencing or have experienced mental health problems by improving their quality of life, promoting their social and socioeconomic reintegration, developing their job-readiness, and helping them to find and/or keep a job.","Training in various crafts (jewellery, stained glass, enamel on copper, cloth printing and serigraphy, sewing and weaving), job readiness program, personal development workshops (self-confidence, self-esteem, social skills).",Catherine Dupuis,"3680, rue Jeanne-Mance",Bureau 213,Montr̩al QC,H2X 2K5,Tel : 514 844-6458,Fax : 514 288-3848,info@atelierdartisanat.org,mailto:info@atelierdartisanat.org,http://www.atelierdartisanat.org,http://www.atelierdartisanat.org/
http://www.centraide-mtl.org/en/agencies/ateliers-deducation-populaire-du-plateau/,Ateliers d'̩ducation populaire du Plateau,Neighbourhood life,Le Plateau Mont-Royal,"$114,520 ",1985,"Help adults in Le Plateau-Mont-Royal, and particularly people who are socially or economically disadvantaged, to express themselves, address their difficulties and find solutions so that they can shape their environment and their future.","Continuing education focusing on family, economic, social, cultural and recreational issues.",Amina Ameur,"4273, rue Drolet",Montr̩al QC,H2W 2L7,,Tel : 514 350-8881,Fax : 514 350-8887,soutien-administratif@aepp.ca,mailto:soutien-administratif@aepp.ca,http://www.aepp.ca,http://www.aepp.ca/
http://www.centraide-mtl.org/en/agencies/auberge-communautaire-du-sud-ouest/,Auberge communautaire du Sud-Ouest,Youth,Verdun,"$151,900 ",1988,"Promote the self-sufficiency, social reintegration and employability of homeless persons aged 18-29 by helping them to find the necessary resources to feed and house themselves, build a support network, improve their relationship with their family, and develop their abilities and social skills.","Temporary shelter, personal development workshops, job readiness and job entry program, post-shelter follow-up, leisure and cultural activities, collective kitchens.",Anne-Marie Dupuis,"4026, rue Wellington",Montr̩al QC,H4G 1V3,,Tel : 514 768-4774,Fax : 514 768-7434,amdupuis.auberge@videotron.ca,mailto:amdupuis.auberge@videotron.ca,http://www.laubergecommunautaire.org,http://www.laubergecommunautaire.org/
http://www.centraide-mtl.org/en/agencies/auberge-du-coeur-lantre-temps-longueuil/,Auberge du coeur l'Antre-temps Longueuil,Youth,Le Vieux-Longueuil,"$148,775 ",1986,"Promote the independence and social integration of young persons between the ages of 16 and 21 who are separated from their family, isolated, resourceless and homeless, and help them reorient their lives and attain their goals.","Information and referral, temporary shelter, job readiness workshops, post-shelter follow-up (social housing), sports and educational activities, coffee klatches, family support.",Sonia Langlois,"950, boul. Roland-Therrien",Longueuil QC,J4J 5H3,,Tel : 450 651-0125,Fax : 450 651-0126,admin@antre-temps.org,mailto:admin@antre-temps.org,http://www.antre-temps.org,http://www.antre-temps.org/
http://www.centraide-mtl.org/en/agencies/auberge-du-coeur-lescalier/,Auberge du coeur l'Escalier,Youth,Hochelaga-Maisonneuve,"$96,000 ",1989,"Support young adults aged 18 to 30 who are homeless or in difficulty by helping them to take charge of their lives, integrate into society and improve their job readiness.","Professional psychosocial intervention, sports and cultural activities, post-shelter follow-up, social integration through Distributions l�۪Escalier and the farm Aux Champ̻treries, educational and thematic workshops (budgeting, romantic relationships, computer skills), community meals, collective kitchens.",Jacques Baillargeon,"2295, avenue Desjardins",App. 1,Montr̩al QC,H1V 2H6,Tel : 514 252-9886,Fax : 514 252-8207,habitationsescalier@videotron.ca,mailto:habitationsescalier@videotron.ca,http://www.distributionsescalier.com,http://www.distributionsescalier.com/
http://www.centraide-mtl.org/en/agencies/au-coup-de-pouce-centre-sud/,Au coup de pouce Centre-Sud,Neighbourhood life,Centre-Sud,"$76,110 ",1977,"Help people in the neighbourhood by breaking their isolation, encouraging mutual aid, and promoting their individual and collective responsibility.","Continuing education focusing on literacy and awareness (reading and writing workshops, memory functioning, introduction to information), personal development workshops, job readiness program.",Gis̬le Caron,"2338, rue Ontario Est",Montr̩al QC,H2K 1W1,,Tel : 514 521-2439,Fax : 514 521-5763,admin@aucoupdepouce.qc.ca,mailto:admin@aucoupdepouce.qc.ca,http://www.aucoupdepouce.qc.ca,http://www.aucoupdepouce.qc.ca/
http://www.centraide-mtl.org/en/agencies/au-second-lieu/,Au Second Lieu,Mental health,Saint-Hubert,"$123,500 ",2008,"Offer activities to empower people who have, or have had, a mental health problem in order to facilitate their integration into the community.","Information and referral, support network, mutual aid, client involvement, skills development, leisure activities.",Louise Blais,"3200, boul. Grande-All̩e",Saint-Hubert QC,J4T 2S5,,Tel : 450 672-8725,Fax : 450 672-8499,info@secondlieu.org,mailto:info@secondlieu.org,http://www.secondlieu.org,http://www.secondlieu.org/
http://www.centraide-mtl.org/en/agencies/autisme-montreal/,Autisme Montr̩al,Persons with disabilities,Le Plateau Mont-Royal,"$147,000 ",1998,"Bring together and encourage self-help among the parents of children who are autistic or have a pervasive developmental disorder, while advocating the rights of children and promoting their development and social integration.","Listening, information and referral, Asperger's syndrome self-help group, day-care centre, swimming courses, newsletter, coffee klatches, summer day camp, documentation centre and materials library, presentations, respite weekends, support and sitter service.",Julie Champagne,"4450, rue Saint-Hubert",Bureau 320,Montr̩al QC,H2J 2W9,Tel : 514 524-6114,Fax : 514 524-6420,accueil@autisme-montreal.com,mailto:accueil@autisme-montreal.com,http://www.autisme-montreal.com,http://www.autisme-montreal.com/
http://www.centraide-mtl.org/en/agencies/baobab-familial/,Baobab Familial,Families,C̫te-des-Neiges,"$132,253 ",2003,"Empower and promote the social integration of families, particularly families with young children from the cultural communities in the Darlington neighbourhood in the northern area of C̫te-des-Neiges.","Listening, information and referral, continuing education, leisure activities, family outings, parental respite in the home, psychosocial support, community meals, neighbourhood celebrations.",Vanessa Sykes,"6767, chemin de la C̫te-des-Neiges",Bureau 599,Montr̩al QC,H3S 2T6,Tel : 514 734-4097,Fax : 514 734-0244,information@baobabfamilial.org,mailto:information@baobabfamilial.org,http://www.baobabfamilial.org,http://www.baobabfamilial.org/
http://www.centraide-mtl.org/en/agencies/benado/,B��NADO,Youth,Delson,"$187,980 ",1986,"Encourage and help young dropouts aged 14-17 in the west end of the South Shore to reflect on their current situation and future prospects, to go back to school, to find a job, and to improve their relationship with their family, their school and their community.","Listening, information and referral, day centre for dropouts, support for parents, prevention of juvenile delinquency in the schools, internships in companies, job readiness program, individual and family followup, academic and manual workshops.",Jos̩e Lacoursi̬re,"197, chemin St-Fran̤ois-Xavier",Delson QC,J5B 1X7,,Tel : 450 632-1640,Fax : 450 632-6754,benado@videotron.ca,mailto:benado@videotron.ca,http://www.benado.org,http://www.benado.org/
http://www.centraide-mtl.org/en/agencies/big-brothers-big-sisters-of-greater-montreal/,Big Brothers Big Sisters of Greater Montreal,Youth,Le Plateau Mont-Royal,"$127,237 ",1980,Promote the full development of children and youth by offering them positive role models through pairing with adults who are prepared to engage in a supportive and caring relationship.,"Pairing of young people with Big Brothers or Sisters and monitoring of the relationship, school mentoring.",Maxime Bergeron Laurencelle,"3155, rue Hochelaga, bureau 2012",Montr̩al QC,H1W 1G4,,Tel : 514 842-9715,Fax : 514 842-2454,info1.montreal@grandsfreresgrandessoeurs.ca,mailto:info1.montreal@grandsfreresgrandessoeurs.ca,http://www.gfgsmtl.qc.ca,http://www.gfgsmtl.qc.ca/
http://www.centraide-mtl.org/en/agencies/big-brothers-big-sisters-of-west-island/,Big Brothers Big Sisters of West Island,Youth,Dorval,"$129,160 ",1979,"Help children from single-parent families on the West Island by pairing them with a responsible adult who will provide them with a positive role model, act as a mentor, and foster their personal development while encouraging them to remain in school.","Pairing of young people with Big Brothers or Sisters, and monitoring of the relationship.",Francesca Corso,"265, avenue Dorval",Bureau 202,Dorval QC,H9S 3H5,Tel : 514 538-6100 x31,Fax : 514 538-4625,bbbswi@bigbrothersbigsisters.ca,mailto:bbbswi@bigbrothersbigsisters.ca,http://www.bbbsofwi.org,http://www.bbbsofwi.org/
http://www.centraide-mtl.org/en/agencies/boite-a-lettres-de-longueuil-la-programme-tremplin-vers-lautonomie/,"Bǫte �� lettres de Longueuil (La), programme Tremplin vers l'autonomie",Youth,Le Vieux-Longueuil,"$114,300 ",2002,"Help young people aged 16 to 25 from disadvantaged environments who are illiterate or undereducated develop their potential and regain power over their lives by encouraging them to read, write and communicate and by using a participative approach.","Literacy workshops, training in democratic decision making, sociocultural activities, psychosocial support, consultation.",Fran̤oise Lefebvre,"1012, boul. Sainte-Foy",Longueuil QC,J4K 1W2,,Tel : 450 646-9273,Fax : 450 646-9281,bal@bellnet.ca,mailto:bal@bellnet.ca,http://www.boitealettres.ca,http://www.boitealettres.ca/
